model,run_id,candidate,suite,average_task_score,failed_or_partial,task_count
E2B,extra3-i02,json-768-instruction-448-default-288,agent,100,0,8
E2B,extra3-i01,promoted-extra5-control,agent,96.875,1,8
E2B,extra5-i01,reasonmath-896-instruction-640-coding-128,agent,96.875,1,8
E2B,extra5-i02,json-640-tool-256-coding-128,agent,96.875,1,8
E2B,extra5-i03,tool-normalize-dedupe-retry-coding-128,agent,96.875,1,8
E2B,extra5-i04,json-640-instruction-384-reasonmath-768,agent,96.875,1,8
E2B,extra5-i05,balanced-retry-empty-json-320-896,agent,96.875,1,8
E2B,extra3-i03,tool-rescue-reason-1024-default-256,agent,87.5,3,8
E2B,extra3-i01,promoted-extra5-control,coding,100,0,12
E2B,extra3-i02,json-768-instruction-448-default-288,coding,100,0,12
E2B,extra3-i03,tool-rescue-reason-1024-default-256,coding,100,0,12
E2B,extra5-i01,reasonmath-896-instruction-640-coding-128,coding,100,0,12
E2B,extra5-i02,json-640-tool-256-coding-128,coding,100,0,12
E2B,extra5-i03,tool-normalize-dedupe-retry-coding-128,coding,100,0,12
E2B,extra5-i04,json-640-instruction-384-reasonmath-768,coding,100,0,12
E2B,extra5-i05,balanced-retry-empty-json-320-896,coding,100,0,12
E2B,extra5-i02,json-640-tool-256-coding-128,dataextract,86.93333333333334,10,15
E2B,extra3-i02,json-768-instruction-448-default-288,dataextract,86.46666666666667,11,15
E2B,extra5-i05,balanced-retry-empty-json-320-896,dataextract,85.73333333333333,11,15
E2B,extra3-i03,tool-rescue-reason-1024-default-256,dataextract,85.06666666666666,11,15
E2B,extra5-i04,json-640-instruction-384-reasonmath-768,dataextract,84.6,11,15
E2B,extra3-i01,promoted-extra5-control,dataextract,83.73333333333333,11,15
E2B,extra5-i01,reasonmath-896-instruction-640-coding-128,dataextract,77.86666666666666,11,15
E2B,extra5-i03,tool-normalize-dedupe-retry-coding-128,dataextract,77.4,10,15
E2B,extra5-i05,balanced-retry-empty-json-320-896,instructfollow,67.78,7,15
E2B,extra3-i03,tool-rescue-reason-1024-default-256,instructfollow,64.44666666666667,8,15
E2B,extra5-i01,reasonmath-896-instruction-640-coding-128,instructfollow,64.44666666666667,8,15
E2B,extra5-i02,json-640-tool-256-coding-128,instructfollow,64.44666666666667,8,15
E2B,extra5-i04,json-640-instruction-384-reasonmath-768,instructfollow,64.44666666666667,8,15
E2B,extra5-i03,tool-normalize-dedupe-retry-coding-128,instructfollow,62.226666666666674,9,15
E2B,extra3-i01,promoted-extra5-control,instructfollow,61.11333333333334,9,15
E2B,extra3-i02,json-768-instruction-448-default-288,instructfollow,61.11333333333334,9,15
E2B,extra3-i01,promoted-extra5-control,reasonmath,73.33333333333333,4,15
E2B,extra3-i02,json-768-instruction-448-default-288,reasonmath,73.33333333333333,4,15
E2B,extra3-i03,tool-rescue-reason-1024-default-256,reasonmath,73.33333333333333,4,15
E2B,extra5-i01,reasonmath-896-instruction-640-coding-128,reasonmath,66.66666666666667,5,15
E2B,extra5-i04,json-640-instruction-384-reasonmath-768,reasonmath,66.66666666666667,5,15
E2B,extra5-i05,balanced-retry-empty-json-320-896,reasonmath,63.666666666666664,6,15
E2B,extra5-i02,json-640-tool-256-coding-128,reasonmath,60,6,15
E2B,extra5-i03,tool-normalize-dedupe-retry-coding-128,reasonmath,60,6,15
E2B,extra5-i04,json-640-instruction-384-reasonmath-768,speed,67.82444444444445,9,9
E2B,extra5-i03,tool-normalize-dedupe-retry-coding-128,speed,67.59777777777778,9,9
E2B,extra5-i01,reasonmath-896-instruction-640-coding-128,speed,67.4588888888889,9,9
E2B,extra3-i03,tool-rescue-reason-1024-default-256,speed,67.39222222222222,9,9
E2B,extra3-i02,json-768-instruction-448-default-288,speed,67.21111111111112,9,9
E2B,extra5-i05,balanced-retry-empty-json-320-896,speed,66.63000000000001,9,9
E2B,extra5-i02,json-640-tool-256-coding-128,speed,66.56222222222222,9,9
E2B,extra3-i01,promoted-extra5-control,speed,66.03111111111112,9,9
E2B,extra3-i01,promoted-extra5-control,toolcall,100,0,15
E2B,extra5-i01,reasonmath-896-instruction-640-coding-128,toolcall,100,0,15
E2B,extra5-i03,tool-normalize-dedupe-retry-coding-128,toolcall,100,0,15
E2B,extra5-i05,balanced-retry-empty-json-320-896,toolcall,100,0,15
E2B,extra3-i02,json-768-instruction-448-default-288,toolcall,95,1,15
E2B,extra3-i03,tool-rescue-reason-1024-default-256,toolcall,95,1,15
E2B,extra5-i02,json-640-tool-256-coding-128,toolcall,95,1,15
E2B,extra5-i04,json-640-instruction-384-reasonmath-768,toolcall,95,1,15
E4B,extra3-i01,promoted-extra5-control,agent,96.875,1,8
E4B,extra3-i02,json-768-instruction-448-default-288,agent,96.875,1,8
E4B,extra3-i03,tool-rescue-reason-1024-default-256,agent,96.875,1,8
E4B,extra5-i01,reasonmath-896-instruction-640-coding-128,agent,96.875,1,8
E4B,extra5-i02,json-640-tool-256-coding-128,agent,96.875,1,8
E4B,extra5-i03,tool-normalize-dedupe-retry-coding-128,agent,96.875,1,8
E4B,extra5-i05,balanced-retry-empty-json-320-896,agent,96.875,1,8
E4B,extra5-i04,json-640-instruction-384-reasonmath-768,agent,90.625,2,8
E4B,extra3-i01,promoted-extra5-control,coding,100,0,12
E4B,extra3-i02,json-768-instruction-448-default-288,coding,100,0,12
E4B,extra3-i03,tool-rescue-reason-1024-default-256,coding,100,0,12
E4B,extra5-i01,reasonmath-896-instruction-640-coding-128,coding,100,0,12
E4B,extra5-i02,json-640-tool-256-coding-128,coding,100,0,12
E4B,extra5-i03,tool-normalize-dedupe-retry-coding-128,coding,100,0,12
E4B,extra5-i04,json-640-instruction-384-reasonmath-768,coding,100,0,12
E4B,extra5-i05,balanced-retry-empty-json-320-896,coding,100,0,12
E4B,extra5-i03,tool-normalize-dedupe-retry-coding-128,dataextract,89.4,10,15
E4B,extra3-i03,tool-rescue-reason-1024-default-256,dataextract,89.33333333333333,10,15
E4B,extra5-i04,json-640-instruction-384-reasonmath-768,dataextract,89.26666666666667,10,15
E4B,extra5-i02,json-640-tool-256-coding-128,dataextract,89.2,10,15
E4B,extra3-i01,promoted-extra5-control,dataextract,88.26666666666667,10,15
E4B,extra5-i05,balanced-retry-empty-json-320-896,dataextract,87.8,10,15
E4B,extra3-i02,json-768-instruction-448-default-288,dataextract,86.26666666666667,10,15
E4B,extra5-i01,reasonmath-896-instruction-640-coding-128,dataextract,84.8,10,15
E4B,extra5-i02,json-640-tool-256-coding-128,instructfollow,70,6,15
E4B,extra5-i04,json-640-instruction-384-reasonmath-768,instructfollow,68.88666666666667,6,15
E4B,extra5-i01,reasonmath-896-instruction-640-coding-128,instructfollow,66.66666666666667,7,15
E4B,extra5-i05,balanced-retry-empty-json-320-896,instructfollow,66.66666666666667,7,15
E4B,extra3-i02,json-768-instruction-448-default-288,instructfollow,64.44666666666667,8,15
E4B,extra3-i01,promoted-extra5-control,instructfollow,63.333333333333336,8,15
E4B,extra3-i03,tool-rescue-reason-1024-default-256,instructfollow,63.333333333333336,8,15
E4B,extra5-i03,tool-normalize-dedupe-retry-coding-128,instructfollow,56.666666666666664,10,15
E4B,extra3-i01,promoted-extra5-control,reasonmath,80,3,15
E4B,extra3-i03,tool-rescue-reason-1024-default-256,reasonmath,80,3,15
E4B,extra5-i05,balanced-retry-empty-json-320-896,reasonmath,80,3,15
E4B,extra5-i01,reasonmath-896-instruction-640-coding-128,reasonmath,73.33333333333333,4,15
E4B,extra5-i02,json-640-tool-256-coding-128,reasonmath,73.33333333333333,4,15
E4B,extra5-i03,tool-normalize-dedupe-retry-coding-128,reasonmath,67.33333333333333,6,15
E4B,extra3-i02,json-768-instruction-448-default-288,reasonmath,66.66666666666667,5,15
E4B,extra5-i04,json-640-instruction-384-reasonmath-768,reasonmath,66.66666666666667,5,15
E4B,extra5-i02,json-640-tool-256-coding-128,speed,58.76444444444446,9,9
E4B,extra3-i03,tool-rescue-reason-1024-default-256,speed,58.75111111111111,9,9
E4B,extra5-i04,json-640-instruction-384-reasonmath-768,speed,58.611111111111114,9,9
E4B,extra5-i03,tool-normalize-dedupe-retry-coding-128,speed,58.138888888888886,9,9
E4B,extra3-i01,promoted-extra5-control,speed,57.88888888888888,9,9
E4B,extra3-i02,json-768-instruction-448-default-288,speed,57.88333333333334,9,9
E4B,extra5-i01,reasonmath-896-instruction-640-coding-128,speed,57.69111111111111,9,9
E4B,extra5-i05,balanced-retry-empty-json-320-896,speed,57.67666666666667,9,9
E4B,extra3-i02,json-768-instruction-448-default-288,toolcall,95,1,15
E4B,extra3-i03,tool-rescue-reason-1024-default-256,toolcall,95,1,15
E4B,extra5-i01,reasonmath-896-instruction-640-coding-128,toolcall,95,1,15
E4B,extra5-i02,json-640-tool-256-coding-128,toolcall,95,1,15
E4B,extra5-i03,tool-normalize-dedupe-retry-coding-128,toolcall,95,1,15
E4B,extra3-i01,promoted-extra5-control,toolcall,90,2,15
E4B,extra5-i04,json-640-instruction-384-reasonmath-768,toolcall,90,2,15
E4B,extra5-i05,balanced-retry-empty-json-320-896,toolcall,90,2,15
