variant,iteration,model_id,run_id,run_json,version,timestamp,provider,harness,harness_version,policy_version,policy_enabled_features,total_runtime_sec,overall_score,quality_score,speed_score,reliability_score,value_score,speed_metrics_generation_tok_per_sec,analysis_failure_classes_json,analysis_json,benchloop_model_id,iteration_id,machine_backend,machine_cpu,machine_endpoint,machine_gpu,machine_gpu_memory_gb,machine_hardware_label,machine_is_remote,machine_machine_id,machine_os,machine_remote_host,machine_system_memory_gb,model_alias,model_family,model_model_id,model_parameter_count,model_quantization,policy_json,sampler_temp,sampler_top_k,sampler_top_p,speed_metrics_prompt_eval_tok_per_sec,speed_metrics_total_latency_ms,speed_metrics_ttft_ms,suite_agent_fail_count,suite_agent_median_latency_ms,suite_agent_pass_count,suite_agent_score,suite_agent_task_count,suite_coding_fail_count,suite_coding_median_latency_ms,suite_coding_pass_count,suite_coding_score,suite_coding_task_count,suite_dataextract_fail_count,suite_dataextract_median_latency_ms,suite_dataextract_pass_count,suite_dataextract_score,suite_dataextract_task_count,suite_instructfollow_fail_count,suite_instructfollow_median_latency_ms,suite_instructfollow_pass_count,suite_instructfollow_score,suite_instructfollow_task_count,suite_reasonmath_fail_count,suite_reasonmath_median_latency_ms,suite_reasonmath_pass_count,suite_reasonmath_score,suite_reasonmath_task_count,suite_speed_fail_count,suite_speed_median_latency_ms,suite_speed_pass_count,suite_speed_score,suite_speed_task_count,suite_toolcall_fail_count,suite_toolcall_median_latency_ms,suite_toolcall_pass_count,suite_toolcall_score,suite_toolcall_task_count
gemma4_harness_optimized_17x,1,gemma-4-E2B-it-qat-UD-Q4_K_XL,2026-06-06T14:48:36.486656+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter01,results/benchloop/gemma4-harness-optimized/iteration-01/gemma-4-E2B-it-qat-UD-Q4_K_XL/run.json,0.1.0,2026-06-06T14:48:36.486656+00:00,openai_compat,raw,v1,iter-01,enforce_sampler;cap_max_tokens_by_task,937.8200457909843,50.45542509363296,48.916666666666664,65.79,41.57303370786517,7.981692490962,39.24880326141818,"{""tool_partial_batch"":4,""format_cleanup"":12,""numeric_string"":5,""semantic_extraction"":5,""invalid_json"":3,""format_or_instruction"":8,""answer_line"":5,""semantic_math"":9,""speed_measurement"":9,""tool_missing"":2,""tool_unneeded"":2}",results/benchloop/gemma4-harness-optimized/iteration-01/gemma-4-E2B-it-qat-UD-Q4_K_XL/analysis.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter01,iteration-01,ollama,,http://127.0.0.1:8092,Apple M1 Pro,25,Apple M1 Pro 32GB unified memory,true,remote:127.0.0.1,remote,127.0.0.1,0,gemma-4-E2B-it-qat-UD-Q4_K_XL,,gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter01,,,results/benchloop/gemma4-harness-optimized/iteration-01/gemma-4-E2B-it-qat-UD-Q4_K_XL/policy.json,1,64,0.95,0,3296.956462892316,0,3,0,5,87.5,8,12,19123.275708509027,0,0,12,10,14083.635000017239,5,61.55,15,8,3442.1616249892395,7,64.45,15,14,19869.330917019397,1,6.67,15,0,3086.902833019849,9,65.79,9,5,518.7097500020172,10,73.33,15
gemma4_harness_optimized_17x,1,gemma-4-E4B-it-qat-UD-Q4_K_XL,2026-06-06T15:05:37.370090+00:00-gemma-4-E4B-it-qat-UD-Q4_K_XL-harness-iter01,results/benchloop/gemma4-harness-optimized/iteration-01/gemma-4-E4B-it-qat-UD-Q4_K_XL/run.json,0.1.0,2026-06-06T15:05:37.370090+00:00,openai_compat,raw,v1,iter-01,enforce_sampler;cap_max_tokens_by_task,534.2011999159877,58.184961610486894,58.52166666666667,61.17,55.0561797752809,9.103178812414946,28.253373718958564,"{""tool_partial_batch"":2,""format_cleanup"":12,""numeric_string"":3,""semantic_extraction"":5,""invalid_json"":2,""format_or_instruction"":6,""semantic_math"":6,""answer_line"":4,""speed_measurement"":9,""tool_missing"":2,""tool_unneeded"":1}",results/benchloop/gemma4-harness-optimized/iteration-01/gemma-4-E4B-it-qat-UD-Q4_K_XL/analysis.json,gemma-4-E4B-it-qat-UD-Q4_K_XL-harness-iter01,iteration-01,ollama,,http://127.0.0.1:8092,Apple M1 Pro,25,Apple M1 Pro 32GB unified memory,true,remote:127.0.0.1,remote,127.0.0.1,0,gemma-4-E4B-it-qat-UD-Q4_K_XL,,gemma-4-E4B-it-qat-UD-Q4_K_XL-harness-iter01,,,results/benchloop/gemma4-harness-optimized/iteration-01/gemma-4-E4B-it-qat-UD-Q4_K_XL/policy.json,1,64,0.95,0,4809.882717669501,0,1,0,7,93.75,8,12,8491.505375000997,0,0,12,7,6121.020834019873,8,74.05,15,6,1848.3281249937136,9,70,15,10,8789.991791010834,5,33.33,15,0,5297.983374999603,9,61.17,9,4,987.7897080150433,11,80,15
gemma4_harness_optimized_17x,2,gemma-4-E2B-it-qat-UD-Q4_K_XL,2026-06-06T15:14:34.839460+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter02,results/benchloop/gemma4-harness-optimized/iteration-02/gemma-4-E2B-it-qat-UD-Q4_K_XL/run.json,0.1.0,2026-06-06T15:14:34.839460+00:00,openai_compat,raw,v1,iter-02,enforce_sampler;cap_max_tokens_by_task;strip_reasoning;strip_markdown_fences;extract_python_code,323.84132545799366,57.73128277153559,56.30333333333334,70.62,50.56179775280899,13.55320567218264,47.608600431166685,"{""tool_partial_batch"":2,""format_cleanup"":12,""semantic_extraction"":10,""numeric_string"":1,""format_or_instruction"":8,""answer_line"":5,""semantic_math"":8,""speed_measurement"":9}",results/benchloop/gemma4-harness-optimized/iteration-02/gemma-4-E2B-it-qat-UD-Q4_K_XL/analysis.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter02,iteration-02,ollama,,http://127.0.0.1:8092,Apple M1 Pro,25,Apple M1 Pro 32GB unified memory,true,remote:127.0.0.1,remote,127.0.0.1,0,gemma-4-E2B-it-qat-UD-Q4_K_XL,,gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter02,,,results/benchloop/gemma4-harness-optimized/iteration-02/gemma-4-E2B-it-qat-UD-Q4_K_XL/policy.json,1,64,0.95,0,2862.742430553125,0,2,0,6,90.62,8,12,5034.448708494892,0,0,12,9,3767.2993329761084,6,69.42,15,8,980.7887499919161,7,64.45,15,13,5243.08466698858,2,13.33,15,0,3126.1953329958487,9,70.62,9,0,466.5363329986576,15,100,15
gemma4_harness_optimized_17x,2,gemma-4-E4B-it-qat-UD-Q4_K_XL,2026-06-06T15:20:02.197953+00:00-gemma-4-E4B-it-qat-UD-Q4_K_XL-harness-iter02,results/benchloop/gemma4-harness-optimized/iteration-02/gemma-4-E4B-it-qat-UD-Q4_K_XL/run.json,0.1.0,2026-06-06T15:20:02.197953+00:00,openai_compat,raw,v1,iter-02,enforce_sampler;cap_max_tokens_by_task;strip_reasoning;strip_markdown_fences;extract_python_code,537.4944737500045,60.27157490636705,60.623333333333335,61.61,58.42696629213483,10.231269619344575,28.885266614413947,"{""tool_partial_batch"":1,""format_cleanup"":11,""semantic_extraction"":9,""numeric_string"":1,""format_or_instruction"":7,""semantic_math"":9,""answer_line"":3,""speed_measurement"":9}",results/benchloop/gemma4-harness-optimized/iteration-02/gemma-4-E4B-it-qat-UD-Q4_K_XL/analysis.json,gemma-4-E4B-it-qat-UD-Q4_K_XL-harness-iter02,iteration-02,ollama,,http://127.0.0.1:8092,Apple M1 Pro,25,Apple M1 Pro 32GB unified memory,true,remote:127.0.0.1,remote,127.0.0.1,0,gemma-4-E4B-it-qat-UD-Q4_K_XL,,gemma-4-E4B-it-qat-UD-Q4_K_XL-harness-iter02,,,results/benchloop/gemma4-harness-optimized/iteration-02/gemma-4-E4B-it-qat-UD-Q4_K_XL/policy.json,1,64,0.95,0,4842.612527889691,0,1,0,7,96.88,8,11,8428.271562501322,1,8.33,12,6,5838.881458010292,9,72.98,15,7,1821.8084589752834,8,65.55,15,12,8842.237624980044,3,20,15,0,5192.790208995575,9,61.61,9,0,1125.5213330150582,15,100,15
gemma4_harness_optimized_17x,3,gemma-4-E2B-it-qat-UD-Q4_K_XL,2026-06-06T15:32:11.135750+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter03,results/benchloop/gemma4-harness-optimized/iteration-03/gemma-4-E2B-it-qat-UD-Q4_K_XL/run.json,0.1.0,2026-06-06T15:32:11.135750+00:00,openai_compat,raw,v1,iter-03,enforce_sampler;cap_max_tokens_by_task;strip_reasoning;strip_markdown_fences;extract_python_code;repair_json,388.33531441699597,70.97955149812735,73.59166666666667,71.06,65.1685393258427,23.417980383657778,48.829560150071856,"{""tool_partial_batch"":2,""coding_semantic"":9,""semantic_extraction"":10,""format_or_instruction"":8,""semantic_math"":5,""answer_line"":1,""speed_measurement"":9}",results/benchloop/gemma4-harness-optimized/iteration-03/gemma-4-E2B-it-qat-UD-Q4_K_XL/analysis.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter03,iteration-03,ollama,,http://127.0.0.1:8092,Apple M1 Pro,25,Apple M1 Pro 32GB unified memory,true,remote:127.0.0.1,remote,127.0.0.1,0,gemma-4-E2B-it-qat-UD-Q4_K_XL,,gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter03,,,results/benchloop/gemma4-harness-optimized/iteration-03/gemma-4-E2B-it-qat-UD-Q4_K_XL/policy.json,1,64,0.95,0,2885.6138703316296,0,2,0,6,93.75,8,9,4959.716500001377,3,43.75,12,6,3723.0988329974934,9,79.6,15,8,1021.0829580028076,7,64.45,15,6,9069.935958017595,9,60,15,0,3095.286000025226,9,71.06,9,0,801.8089999968652,15,100,15
gemma4_harness_optimized_17x,3,gemma-4-E4B-it-qat-UD-Q4_K_XL,2026-06-06T15:38:43.010280+00:00-gemma-4-E4B-it-qat-UD-Q4_K_XL-harness-iter03,results/benchloop/gemma4-harness-optimized/iteration-03/gemma-4-E4B-it-qat-UD-Q4_K_XL/run.json,0.1.0,2026-06-06T15:38:43.010280+00:00,openai_compat,raw,v1,iter-03,enforce_sampler;cap_max_tokens_by_task;strip_reasoning;strip_markdown_fences;extract_python_code;repair_json,585.9911127499945,70.27618258426966,74.855,61.26,67.41573033707866,14.344043856184626,28.42428479951087,"{""tool_partial_batch"":1,""coding_semantic"":8,""format_cleanup"":1,""semantic_extraction"":9,""format_or_instruction"":9,""semantic_math"":5,""answer_line"":1,""speed_measurement"":9}",results/benchloop/gemma4-harness-optimized/iteration-03/gemma-4-E4B-it-qat-UD-Q4_K_XL/analysis.json,gemma-4-E4B-it-qat-UD-Q4_K_XL-harness-iter03,iteration-03,ollama,,http://127.0.0.1:8092,Apple M1 Pro,25,Apple M1 Pro 32GB unified memory,true,remote:127.0.0.1,remote,127.0.0.1,0,gemma-4-E4B-it-qat-UD-Q4_K_XL,,gemma-4-E4B-it-qat-UD-Q4_K_XL-harness-iter03,,,results/benchloop/gemma4-harness-optimized/iteration-03/gemma-4-E4B-it-qat-UD-Q4_K_XL/policy.json,1,64,0.95,0,4799.819629448595,0,1,0,7,96.88,8,9,8374.028687001555,3,41.67,12,4,6104.958499985514,11,89.47,15,9,1726.6237919975538,6,61.11,15,6,10427.256583003327,9,60,15,0,5272.971749975113,9,61.26,9,0,923.5132919857278,15,100,15
gemma4_harness_optimized_17x,4,gemma-4-E2B-it-qat-UD-Q4_K_XL,2026-06-06T15:48:32.315772+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter04,results/benchloop/gemma4-harness-optimized/iteration-04/gemma-4-E2B-it-qat-UD-Q4_K_XL/run.json,0.1.0,2026-06-06T15:48:32.315772+00:00,openai_compat,raw,v1,iter-04,enforce_sampler;cap_max_tokens_by_task;strip_reasoning;strip_markdown_fences;extract_python_code;repair_json;parse_escaped_json,395.70692154197604,68.7644382022472,71.10000000000001,71.05,61.79775280898876,21.438975735999062,48.793475016082766,"{""tool_partial_batch"":2,""coding_semantic"":9,""semantic_extraction"":10,""format_or_instruction"":8,""semantic_math"":6,""answer_line"":2,""speed_measurement"":9}",results/benchloop/gemma4-harness-optimized/iteration-04/gemma-4-E2B-it-qat-UD-Q4_K_XL/analysis.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter04,iteration-04,ollama,,http://127.0.0.1:8092,Apple M1 Pro,25,Apple M1 Pro 32GB unified memory,true,remote:127.0.0.1,remote,127.0.0.1,0,gemma-4-E2B-it-qat-UD-Q4_K_XL,,gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter04,,,results/benchloop/gemma4-harness-optimized/iteration-04/gemma-4-E2B-it-qat-UD-Q4_K_XL/policy.json,1,64,0.95,0,2839.17892600746,0,2,0,6,93.75,8,9,4958.34968748386,3,43.75,12,7,4019.848042022204,8,77.98,15,8,1005.4168339993339,7,64.45,15,8,9818.734708009288,7,46.67,15,0,3129.9865420151036,9,71.05,9,0,700.9208340023179,15,100,15
gemma4_harness_optimized_17x,4,gemma-4-E4B-it-qat-UD-Q4_K_XL,2026-06-06T15:55:11.566635+00:00-gemma-4-E4B-it-qat-UD-Q4_K_XL-harness-iter04,results/benchloop/gemma4-harness-optimized/iteration-04/gemma-4-E4B-it-qat-UD-Q4_K_XL/run.json,0.1.0,2026-06-06T15:55:11.566635+00:00,openai_compat,raw,v1,iter-04,enforce_sampler;cap_max_tokens_by_task;strip_reasoning;strip_markdown_fences;extract_python_code;repair_json;parse_escaped_json,585.6226466660155,72.93227808988765,77.605,61.36,71.91011235955057,15.97688521381993,28.62941305388614,"{""tool_partial_batch"":1,""coding_semantic"":6,""format_cleanup"":1,""semantic_extraction"":9,""format_or_instruction"":7,""semantic_math"":5,""answer_line"":1,""speed_measurement"":9,""tool_missing"":1}",results/benchloop/gemma4-harness-optimized/iteration-04/gemma-4-E4B-it-qat-UD-Q4_K_XL/analysis.json,gemma-4-E4B-it-qat-UD-Q4_K_XL-harness-iter04,iteration-04,ollama,,http://127.0.0.1:8092,Apple M1 Pro,25,Apple M1 Pro 32GB unified memory,true,remote:127.0.0.1,remote,127.0.0.1,0,gemma-4-E4B-it-qat-UD-Q4_K_XL,,gemma-4-E4B-it-qat-UD-Q4_K_XL-harness-iter04,,,results/benchloop/gemma4-harness-optimized/iteration-04/gemma-4-E4B-it-qat-UD-Q4_K_XL/policy.json,1,64,0.95,0,4773.798902780982,0,1,0,7,96.88,8,7,8342.809541500174,5,54.17,12,3,5778.1297909969,12,89.58,15,7,1619.156834000023,8,70,15,6,11963.815374998376,9,60,15,0,5211.634208011674,9,61.36,9,1,865.5651250155643,14,95,15
gemma4_harness_optimized_17x,5,gemma-4-E2B-it-qat-UD-Q4_K_XL,2026-06-06T16:05:00.681982+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter05,results/benchloop/gemma4-harness-optimized/iteration-05/gemma-4-E2B-it-qat-UD-Q4_K_XL/run.json,0.1.0,2026-06-06T16:05:00.681982+00:00,openai_compat,raw,v1,iter-05,enforce_sampler;cap_max_tokens_by_task;strip_reasoning;strip_markdown_fences;extract_python_code;repair_json;parse_escaped_json;coerce_numeric_json_values,385.63613045800594,70.05750374531836,72.97666666666667,70.95,62.92134831460674,22.218607865972544,48.387680180020595,"{""tool_partial_batch"":1,""format_cleanup"":1,""coding_semantic"":6,""semantic_extraction"":11,""format_or_instruction"":9,""semantic_math"":5,""answer_line"":2,""speed_measurement"":9,""tool_missing"":1}",results/benchloop/gemma4-harness-optimized/iteration-05/gemma-4-E2B-it-qat-UD-Q4_K_XL/analysis.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter05,iteration-05,ollama,,http://127.0.0.1:8092,Apple M1 Pro,25,Apple M1 Pro 32GB unified memory,true,remote:127.0.0.1,remote,127.0.0.1,0,gemma-4-E2B-it-qat-UD-Q4_K_XL,,gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter05,,,results/benchloop/gemma4-harness-optimized/iteration-05/gemma-4-E2B-it-qat-UD-Q4_K_XL/policy.json,1,64,0.95,0,2812.806560221361,0,1,0,7,96.88,8,7,4920.262354484294,5,54.17,12,8,3677.282666991232,7,77.37,15,9,992.4576669873204,6,61.11,15,7,9481.927749991883,8,53.33,15,0,3129.0509589889552,9,70.95,9,1,489.1513749898877,14,95,15
gemma4_harness_optimized_17x,5,gemma-4-E4B-it-qat-UD-Q4_K_XL,2026-06-06T16:11:29.837555+00:00-gemma-4-E4B-it-qat-UD-Q4_K_XL-harness-iter05,results/benchloop/gemma4-harness-optimized/iteration-05/gemma-4-E4B-it-qat-UD-Q4_K_XL/run.json,0.1.0,2026-06-06T16:11:29.837555+00:00,openai_compat,raw,v1,iter-05,enforce_sampler;cap_max_tokens_by_task;strip_reasoning;strip_markdown_fences;extract_python_code;repair_json;parse_escaped_json;coerce_numeric_json_values,599.8031522080128,70.289765917603,74.76333333333334,61.58,67.41573033707866,14.549701930457639,28.86716910719893,"{""tool_partial_batch"":2,""coding_semantic"":8,""semantic_extraction"":10,""format_or_instruction"":8,""semantic_math"":5,""answer_line"":1,""speed_measurement"":9}",results/benchloop/gemma4-harness-optimized/iteration-05/gemma-4-E4B-it-qat-UD-Q4_K_XL/analysis.json,gemma-4-E4B-it-qat-UD-Q4_K_XL-harness-iter05,iteration-05,ollama,,http://127.0.0.1:8092,Apple M1 Pro,25,Apple M1 Pro 32GB unified memory,true,remote:127.0.0.1,remote,127.0.0.1,0,gemma-4-E4B-it-qat-UD-Q4_K_XL,,gemma-4-E4B-it-qat-UD-Q4_K_XL-harness-iter05,,,results/benchloop/gemma4-harness-optimized/iteration-05/gemma-4-E4B-it-qat-UD-Q4_K_XL/policy.json,1,64,0.95,0,4745.13471311204,0,2,0,6,90.62,8,8,8375.862229499035,4,50,12,5,6117.819125007372,10,84.63,15,8,1743.1219579884782,7,63.33,15,6,11850.142083974788,9,60,15,0,5217.429625015939,9,61.58,9,0,877.1453329827636,15,100,15
gemma4_harness_optimized_17x,6,gemma-4-E2B-it-qat-UD-Q4_K_XL,2026-06-06T16:21:32.946238+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter06,results/benchloop/gemma4-harness-optimized/iteration-06/gemma-4-E2B-it-qat-UD-Q4_K_XL/run.json,0.1.0,2026-06-06T16:21:32.946238+00:00,openai_compat,raw,v1,iter-06,enforce_sampler;cap_max_tokens_by_task;strip_reasoning;strip_markdown_fences;extract_python_code;repair_json;parse_escaped_json;coerce_numeric_json_values;parse_tagged_tool_calls,378.6543152919912,72.56128370786517,75.975,71.01,66.29213483146067,24.51020153456951,48.66471322695772,"{""tool_partial_batch"":1,""coding_semantic"":6,""semantic_extraction"":11,""format_or_instruction"":7,""semantic_math"":6,""answer_line"":2,""speed_measurement"":9}",results/benchloop/gemma4-harness-optimized/iteration-06/gemma-4-E2B-it-qat-UD-Q4_K_XL/analysis.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter06,iteration-06,ollama,,http://127.0.0.1:8092,Apple M1 Pro,25,Apple M1 Pro 32GB unified memory,true,remote:127.0.0.1,remote,127.0.0.1,0,gemma-4-E2B-it-qat-UD-Q4_K_XL,,gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter06,,,results/benchloop/gemma4-harness-optimized/iteration-06/gemma-4-E2B-it-qat-UD-Q4_K_XL/policy.json,1,64,0.95,0,2753.00755089524,0,1,0,7,96.88,8,6,4950.483916996745,6,62.5,12,8,3680.167458980577,7,79.47,15,7,934.653791016899,8,66.67,15,8,8737.394166993909,7,50.33,15,0,3031.3550000137184,9,71.01,9,0,770.6868330133148,15,100,15
