variant,iteration,model_id,sampler_temp,sampler_top_p,sampler_top_k,quality_score,overall_score,speed_score,reliability_score,value_score,generation_tok_per_sec,total_runtime_sec,analysis_failure_classes_json,analysis_json,benchloop_model_id,iteration_id,model_alias,policy_enabled_features,policy_json,policy_version,run_id,run_json,suite_agent_median_latency_ms,suite_agent_pass_count,suite_agent_score,suite_agent_task_count,suite_coding_median_latency_ms,suite_coding_pass_count,suite_coding_score,suite_coding_task_count,suite_dataextract_median_latency_ms,suite_dataextract_pass_count,suite_dataextract_score,suite_dataextract_task_count,suite_instructfollow_median_latency_ms,suite_instructfollow_pass_count,suite_instructfollow_score,suite_instructfollow_task_count,suite_reasonmath_median_latency_ms,suite_reasonmath_pass_count,suite_reasonmath_score,suite_reasonmath_task_count,suite_speed_median_latency_ms,suite_speed_pass_count,suite_speed_score,suite_speed_task_count,suite_toolcall_median_latency_ms,suite_toolcall_pass_count,suite_toolcall_score,suite_toolcall_task_count
gemma4_harness_optimized_17x,1,gemma-4-E2B-it-qat-UD-Q4_K_XL,1,0.95,64,48.916666666666664,50.45542509363296,65.79,41.57303370786517,7.981692490962,39.24880326141818,937.8200457909843,"{""tool_partial_batch"":4,""format_cleanup"":12,""numeric_string"":5,""semantic_extraction"":5,""invalid_json"":3,""format_or_instruction"":8,""answer_line"":5,""semantic_math"":9,""speed_measurement"":9,""tool_missing"":2,""tool_unneeded"":2}",results/benchloop/gemma4-harness-optimized/iteration-01/gemma-4-E2B-it-qat-UD-Q4_K_XL/analysis.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter01,iteration-01,gemma-4-E2B-it-qat-UD-Q4_K_XL,enforce_sampler;cap_max_tokens_by_task,results/benchloop/gemma4-harness-optimized/iteration-01/gemma-4-E2B-it-qat-UD-Q4_K_XL/policy.json,iter-01,2026-06-06T14:48:36.486656+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter01,results/benchloop/gemma4-harness-optimized/iteration-01/gemma-4-E2B-it-qat-UD-Q4_K_XL/run.json,0,5,87.5,8,19123.275708509027,0,0,12,14083.635000017239,5,61.55,15,3442.1616249892395,7,64.45,15,19869.330917019397,1,6.67,15,3086.902833019849,9,65.79,9,518.7097500020172,10,73.33,15
gemma4_harness_optimized_17x,1,gemma-4-E4B-it-qat-UD-Q4_K_XL,1,0.95,64,58.52166666666667,58.184961610486894,61.17,55.0561797752809,9.103178812414946,28.253373718958564,534.2011999159877,"{""tool_partial_batch"":2,""format_cleanup"":12,""numeric_string"":3,""semantic_extraction"":5,""invalid_json"":2,""format_or_instruction"":6,""semantic_math"":6,""answer_line"":4,""speed_measurement"":9,""tool_missing"":2,""tool_unneeded"":1}",results/benchloop/gemma4-harness-optimized/iteration-01/gemma-4-E4B-it-qat-UD-Q4_K_XL/analysis.json,gemma-4-E4B-it-qat-UD-Q4_K_XL-harness-iter01,iteration-01,gemma-4-E4B-it-qat-UD-Q4_K_XL,enforce_sampler;cap_max_tokens_by_task,results/benchloop/gemma4-harness-optimized/iteration-01/gemma-4-E4B-it-qat-UD-Q4_K_XL/policy.json,iter-01,2026-06-06T15:05:37.370090+00:00-gemma-4-E4B-it-qat-UD-Q4_K_XL-harness-iter01,results/benchloop/gemma4-harness-optimized/iteration-01/gemma-4-E4B-it-qat-UD-Q4_K_XL/run.json,0,7,93.75,8,8491.505375000997,0,0,12,6121.020834019873,8,74.05,15,1848.3281249937136,9,70,15,8789.991791010834,5,33.33,15,5297.983374999603,9,61.17,9,987.7897080150433,11,80,15
gemma4_harness_optimized_17x,2,gemma-4-E2B-it-qat-UD-Q4_K_XL,1,0.95,64,56.30333333333334,57.73128277153559,70.62,50.56179775280899,13.55320567218264,47.608600431166685,323.84132545799366,"{""tool_partial_batch"":2,""format_cleanup"":12,""semantic_extraction"":10,""numeric_string"":1,""format_or_instruction"":8,""answer_line"":5,""semantic_math"":8,""speed_measurement"":9}",results/benchloop/gemma4-harness-optimized/iteration-02/gemma-4-E2B-it-qat-UD-Q4_K_XL/analysis.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter02,iteration-02,gemma-4-E2B-it-qat-UD-Q4_K_XL,enforce_sampler;cap_max_tokens_by_task;strip_reasoning;strip_markdown_fences;extract_python_code,results/benchloop/gemma4-harness-optimized/iteration-02/gemma-4-E2B-it-qat-UD-Q4_K_XL/policy.json,iter-02,2026-06-06T15:14:34.839460+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter02,results/benchloop/gemma4-harness-optimized/iteration-02/gemma-4-E2B-it-qat-UD-Q4_K_XL/run.json,0,6,90.62,8,5034.448708494892,0,0,12,3767.2993329761084,6,69.42,15,980.7887499919161,7,64.45,15,5243.08466698858,2,13.33,15,3126.1953329958487,9,70.62,9,466.5363329986576,15,100,15
gemma4_harness_optimized_17x,2,gemma-4-E4B-it-qat-UD-Q4_K_XL,1,0.95,64,60.623333333333335,60.27157490636705,61.61,58.42696629213483,10.231269619344575,28.885266614413947,537.4944737500045,"{""tool_partial_batch"":1,""format_cleanup"":11,""semantic_extraction"":9,""numeric_string"":1,""format_or_instruction"":7,""semantic_math"":9,""answer_line"":3,""speed_measurement"":9}",results/benchloop/gemma4-harness-optimized/iteration-02/gemma-4-E4B-it-qat-UD-Q4_K_XL/analysis.json,gemma-4-E4B-it-qat-UD-Q4_K_XL-harness-iter02,iteration-02,gemma-4-E4B-it-qat-UD-Q4_K_XL,enforce_sampler;cap_max_tokens_by_task;strip_reasoning;strip_markdown_fences;extract_python_code,results/benchloop/gemma4-harness-optimized/iteration-02/gemma-4-E4B-it-qat-UD-Q4_K_XL/policy.json,iter-02,2026-06-06T15:20:02.197953+00:00-gemma-4-E4B-it-qat-UD-Q4_K_XL-harness-iter02,results/benchloop/gemma4-harness-optimized/iteration-02/gemma-4-E4B-it-qat-UD-Q4_K_XL/run.json,0,7,96.88,8,8428.271562501322,1,8.33,12,5838.881458010292,9,72.98,15,1821.8084589752834,8,65.55,15,8842.237624980044,3,20,15,5192.790208995575,9,61.61,9,1125.5213330150582,15,100,15
gemma4_harness_optimized_17x,3,gemma-4-E2B-it-qat-UD-Q4_K_XL,1,0.95,64,73.59166666666667,70.97955149812735,71.06,65.1685393258427,23.417980383657778,48.829560150071856,388.33531441699597,"{""tool_partial_batch"":2,""coding_semantic"":9,""semantic_extraction"":10,""format_or_instruction"":8,""semantic_math"":5,""answer_line"":1,""speed_measurement"":9}",results/benchloop/gemma4-harness-optimized/iteration-03/gemma-4-E2B-it-qat-UD-Q4_K_XL/analysis.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter03,iteration-03,gemma-4-E2B-it-qat-UD-Q4_K_XL,enforce_sampler;cap_max_tokens_by_task;strip_reasoning;strip_markdown_fences;extract_python_code;repair_json,results/benchloop/gemma4-harness-optimized/iteration-03/gemma-4-E2B-it-qat-UD-Q4_K_XL/policy.json,iter-03,2026-06-06T15:32:11.135750+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter03,results/benchloop/gemma4-harness-optimized/iteration-03/gemma-4-E2B-it-qat-UD-Q4_K_XL/run.json,0,6,93.75,8,4959.716500001377,3,43.75,12,3723.0988329974934,9,79.6,15,1021.0829580028076,7,64.45,15,9069.935958017595,9,60,15,3095.286000025226,9,71.06,9,801.8089999968652,15,100,15
gemma4_harness_optimized_17x,3,gemma-4-E4B-it-qat-UD-Q4_K_XL,1,0.95,64,74.855,70.27618258426966,61.26,67.41573033707866,14.344043856184626,28.42428479951087,585.9911127499945,"{""tool_partial_batch"":1,""coding_semantic"":8,""format_cleanup"":1,""semantic_extraction"":9,""format_or_instruction"":9,""semantic_math"":5,""answer_line"":1,""speed_measurement"":9}",results/benchloop/gemma4-harness-optimized/iteration-03/gemma-4-E4B-it-qat-UD-Q4_K_XL/analysis.json,gemma-4-E4B-it-qat-UD-Q4_K_XL-harness-iter03,iteration-03,gemma-4-E4B-it-qat-UD-Q4_K_XL,enforce_sampler;cap_max_tokens_by_task;strip_reasoning;strip_markdown_fences;extract_python_code;repair_json,results/benchloop/gemma4-harness-optimized/iteration-03/gemma-4-E4B-it-qat-UD-Q4_K_XL/policy.json,iter-03,2026-06-06T15:38:43.010280+00:00-gemma-4-E4B-it-qat-UD-Q4_K_XL-harness-iter03,results/benchloop/gemma4-harness-optimized/iteration-03/gemma-4-E4B-it-qat-UD-Q4_K_XL/run.json,0,7,96.88,8,8374.028687001555,3,41.67,12,6104.958499985514,11,89.47,15,1726.6237919975538,6,61.11,15,10427.256583003327,9,60,15,5272.971749975113,9,61.26,9,923.5132919857278,15,100,15
gemma4_harness_optimized_17x,4,gemma-4-E2B-it-qat-UD-Q4_K_XL,1,0.95,64,71.10000000000001,68.7644382022472,71.05,61.79775280898876,21.438975735999062,48.793475016082766,395.70692154197604,"{""tool_partial_batch"":2,""coding_semantic"":9,""semantic_extraction"":10,""format_or_instruction"":8,""semantic_math"":6,""answer_line"":2,""speed_measurement"":9}",results/benchloop/gemma4-harness-optimized/iteration-04/gemma-4-E2B-it-qat-UD-Q4_K_XL/analysis.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter04,iteration-04,gemma-4-E2B-it-qat-UD-Q4_K_XL,enforce_sampler;cap_max_tokens_by_task;strip_reasoning;strip_markdown_fences;extract_python_code;repair_json;parse_escaped_json,results/benchloop/gemma4-harness-optimized/iteration-04/gemma-4-E2B-it-qat-UD-Q4_K_XL/policy.json,iter-04,2026-06-06T15:48:32.315772+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter04,results/benchloop/gemma4-harness-optimized/iteration-04/gemma-4-E2B-it-qat-UD-Q4_K_XL/run.json,0,6,93.75,8,4958.34968748386,3,43.75,12,4019.848042022204,8,77.98,15,1005.4168339993339,7,64.45,15,9818.734708009288,7,46.67,15,3129.9865420151036,9,71.05,9,700.9208340023179,15,100,15
gemma4_harness_optimized_17x,4,gemma-4-E4B-it-qat-UD-Q4_K_XL,1,0.95,64,77.605,72.93227808988765,61.36,71.91011235955057,15.97688521381993,28.62941305388614,585.6226466660155,"{""tool_partial_batch"":1,""coding_semantic"":6,""format_cleanup"":1,""semantic_extraction"":9,""format_or_instruction"":7,""semantic_math"":5,""answer_line"":1,""speed_measurement"":9,""tool_missing"":1}",results/benchloop/gemma4-harness-optimized/iteration-04/gemma-4-E4B-it-qat-UD-Q4_K_XL/analysis.json,gemma-4-E4B-it-qat-UD-Q4_K_XL-harness-iter04,iteration-04,gemma-4-E4B-it-qat-UD-Q4_K_XL,enforce_sampler;cap_max_tokens_by_task;strip_reasoning;strip_markdown_fences;extract_python_code;repair_json;parse_escaped_json,results/benchloop/gemma4-harness-optimized/iteration-04/gemma-4-E4B-it-qat-UD-Q4_K_XL/policy.json,iter-04,2026-06-06T15:55:11.566635+00:00-gemma-4-E4B-it-qat-UD-Q4_K_XL-harness-iter04,results/benchloop/gemma4-harness-optimized/iteration-04/gemma-4-E4B-it-qat-UD-Q4_K_XL/run.json,0,7,96.88,8,8342.809541500174,5,54.17,12,5778.1297909969,12,89.58,15,1619.156834000023,8,70,15,11963.815374998376,9,60,15,5211.634208011674,9,61.36,9,865.5651250155643,14,95,15
gemma4_harness_optimized_17x,5,gemma-4-E2B-it-qat-UD-Q4_K_XL,1,0.95,64,72.97666666666667,70.05750374531836,70.95,62.92134831460674,22.218607865972544,48.387680180020595,385.63613045800594,"{""tool_partial_batch"":1,""format_cleanup"":1,""coding_semantic"":6,""semantic_extraction"":11,""format_or_instruction"":9,""semantic_math"":5,""answer_line"":2,""speed_measurement"":9,""tool_missing"":1}",results/benchloop/gemma4-harness-optimized/iteration-05/gemma-4-E2B-it-qat-UD-Q4_K_XL/analysis.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter05,iteration-05,gemma-4-E2B-it-qat-UD-Q4_K_XL,enforce_sampler;cap_max_tokens_by_task;strip_reasoning;strip_markdown_fences;extract_python_code;repair_json;parse_escaped_json;coerce_numeric_json_values,results/benchloop/gemma4-harness-optimized/iteration-05/gemma-4-E2B-it-qat-UD-Q4_K_XL/policy.json,iter-05,2026-06-06T16:05:00.681982+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter05,results/benchloop/gemma4-harness-optimized/iteration-05/gemma-4-E2B-it-qat-UD-Q4_K_XL/run.json,0,7,96.88,8,4920.262354484294,5,54.17,12,3677.282666991232,7,77.37,15,992.4576669873204,6,61.11,15,9481.927749991883,8,53.33,15,3129.0509589889552,9,70.95,9,489.1513749898877,14,95,15
gemma4_harness_optimized_17x,5,gemma-4-E4B-it-qat-UD-Q4_K_XL,1,0.95,64,74.76333333333334,70.289765917603,61.58,67.41573033707866,14.549701930457639,28.86716910719893,599.8031522080128,"{""tool_partial_batch"":2,""coding_semantic"":8,""semantic_extraction"":10,""format_or_instruction"":8,""semantic_math"":5,""answer_line"":1,""speed_measurement"":9}",results/benchloop/gemma4-harness-optimized/iteration-05/gemma-4-E4B-it-qat-UD-Q4_K_XL/analysis.json,gemma-4-E4B-it-qat-UD-Q4_K_XL-harness-iter05,iteration-05,gemma-4-E4B-it-qat-UD-Q4_K_XL,enforce_sampler;cap_max_tokens_by_task;strip_reasoning;strip_markdown_fences;extract_python_code;repair_json;parse_escaped_json;coerce_numeric_json_values,results/benchloop/gemma4-harness-optimized/iteration-05/gemma-4-E4B-it-qat-UD-Q4_K_XL/policy.json,iter-05,2026-06-06T16:11:29.837555+00:00-gemma-4-E4B-it-qat-UD-Q4_K_XL-harness-iter05,results/benchloop/gemma4-harness-optimized/iteration-05/gemma-4-E4B-it-qat-UD-Q4_K_XL/run.json,0,6,90.62,8,8375.862229499035,4,50,12,6117.819125007372,10,84.63,15,1743.1219579884782,7,63.33,15,11850.142083974788,9,60,15,5217.429625015939,9,61.58,9,877.1453329827636,15,100,15
gemma4_harness_optimized_17x,6,gemma-4-E2B-it-qat-UD-Q4_K_XL,1,0.95,64,75.975,72.56128370786517,71.01,66.29213483146067,24.51020153456951,48.66471322695772,378.6543152919912,"{""tool_partial_batch"":1,""coding_semantic"":6,""semantic_extraction"":11,""format_or_instruction"":7,""semantic_math"":6,""answer_line"":2,""speed_measurement"":9}",results/benchloop/gemma4-harness-optimized/iteration-06/gemma-4-E2B-it-qat-UD-Q4_K_XL/analysis.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter06,iteration-06,gemma-4-E2B-it-qat-UD-Q4_K_XL,enforce_sampler;cap_max_tokens_by_task;strip_reasoning;strip_markdown_fences;extract_python_code;repair_json;parse_escaped_json;coerce_numeric_json_values;parse_tagged_tool_calls,results/benchloop/gemma4-harness-optimized/iteration-06/gemma-4-E2B-it-qat-UD-Q4_K_XL/policy.json,iter-06,2026-06-06T16:21:32.946238+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter06,results/benchloop/gemma4-harness-optimized/iteration-06/gemma-4-E2B-it-qat-UD-Q4_K_XL/run.json,0,7,96.88,8,4950.483916996745,6,62.5,12,3680.167458980577,7,79.47,15,934.653791016899,8,66.67,15,8737.394166993909,7,50.33,15,3031.3550000137184,9,71.01,9,770.6868330133148,15,100,15
gemma4_harness_optimized_17x,6,gemma-4-E4B-it-qat-UD-Q4_K_XL,1,0.95,64,76.88666666666667,72.59119475655432,61.63,71.91011235955057,16.023419989716828,28.981056650307764,619.7553566659917,"{""tool_partial_batch"":2,""format_cleanup"":1,""coding_semantic"":6,""semantic_extraction"":9,""format_or_instruction"":7,""semantic_math"":5,""answer_line"":1,""speed_measurement"":9}",results/benchloop/gemma4-harness-optimized/iteration-06/gemma-4-E4B-it-qat-UD-Q4_K_XL/analysis.json,gemma-4-E4B-it-qat-UD-Q4_K_XL-harness-iter06,iteration-06,gemma-4-E4B-it-qat-UD-Q4_K_XL,enforce_sampler;cap_max_tokens_by_task;strip_reasoning;strip_markdown_fences;extract_python_code;repair_json;parse_escaped_json;coerce_numeric_json_values;parse_tagged_tool_calls,results/benchloop/gemma4-harness-optimized/iteration-06/gemma-4-E4B-it-qat-UD-Q4_K_XL/policy.json,iter-06,2026-06-06T16:27:55.143600+00:00-gemma-4-E4B-it-qat-UD-Q4_K_XL-harness-iter06,results/benchloop/gemma4-harness-optimized/iteration-06/gemma-4-E4B-it-qat-UD-Q4_K_XL/run.json,0,6,90.62,8,8364.801770978374,5,54.17,12,6088.20412500063,12,88.75,15,1713.701000000583,8,67.78,15,12378.702624992002,9,60,15,5228.137083002366,9,61.63,9,957.8443329955917,15,100,15
gemma4_harness_optimized_17x,7,gemma-4-E2B-it-qat-UD-Q4_K_XL,1,0.95,64,71.35166666666667,68.95285486891386,71.3,61.79775280898876,21.784608195510092,49.4052326245905,377.951459666976,"{""tool_partial_batch"":3,""coding_semantic"":7,""format_cleanup"":2,""semantic_extraction"":11,""format_or_instruction"":9,""semantic_math"":6,""answer_line"":1,""speed_measurement"":9}",results/benchloop/gemma4-harness-optimized/iteration-07/gemma-4-E2B-it-qat-UD-Q4_K_XL/analysis.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter07,iteration-07,gemma-4-E2B-it-qat-UD-Q4_K_XL,enforce_sampler;cap_max_tokens_by_task;strip_reasoning;strip_markdown_fences;extract_python_code;repair_json;parse_escaped_json;coerce_numeric_json_values;parse_tagged_tool_calls;parse_json_tool_calls,results/benchloop/gemma4-harness-optimized/iteration-07/gemma-4-E2B-it-qat-UD-Q4_K_XL/policy.json,iter-07,2026-06-06T16:38:18.190327+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter07,results/benchloop/gemma4-harness-optimized/iteration-07/gemma-4-E2B-it-qat-UD-Q4_K_XL/run.json,0,6,90.62,8,4959.4392709987005,3,39.58,12,3709.4883329991717,8,78.68,15,986.2022080051247,6,62.23,15,9061.430708999978,8,57,15,3076.2052499921992,9,71.3,9,510.11862501036376,15,100,15
gemma4_harness_optimized_17x,7,gemma-4-E4B-it-qat-UD-Q4_K_XL,1,0.95,64,74.90499999999999,70.35368258426966,61.51,67.41573033707866,14.514391313168518,28.74264795122707,586.6157064579893,"{""tool_partial_batch"":1,""coding_semantic"":6,""format_cleanup"":2,""semantic_extraction"":9,""format_or_instruction"":6,""semantic_math"":5,""answer_line"":1,""speed_measurement"":9,""tool_missing"":1}",results/benchloop/gemma4-harness-optimized/iteration-07/gemma-4-E4B-it-qat-UD-Q4_K_XL/analysis.json,gemma-4-E4B-it-qat-UD-Q4_K_XL-harness-iter07,iteration-07,gemma-4-E4B-it-qat-UD-Q4_K_XL,enforce_sampler;cap_max_tokens_by_task;strip_reasoning;strip_markdown_fences;extract_python_code;repair_json;parse_escaped_json;coerce_numeric_json_values;parse_tagged_tool_calls;parse_json_tool_calls,results/benchloop/gemma4-harness-optimized/iteration-07/gemma-4-E4B-it-qat-UD-Q4_K_XL/policy.json,iter-07,2026-06-06T16:44:39.685606+00:00-gemma-4-E4B-it-qat-UD-Q4_K_XL-harness-iter07,results/benchloop/gemma4-harness-optimized/iteration-07/gemma-4-E4B-it-qat-UD-Q4_K_XL/run.json,0,7,96.88,8,8346.726125004352,4,45.83,12,6055.218124995008,8,82.83,15,1759.4082920113578,9,68.89,15,11504.513916006545,9,60,15,5220.440916978987,9,61.51,9,881.1471670051105,14,95,15
gemma4_harness_optimized_17x,8,gemma-4-E2B-it-qat-UD-Q4_K_XL,1,0.95,64,70.34,67.76664044943821,70.96,59.55056179775281,20.330344127439773,48.535164171386945,383.0793211669952,"{""tool_partial_batch"":2,""coding_semantic"":8,""format_cleanup"":1,""semantic_extraction"":11,""numeric_string"":1,""format_or_instruction"":9,""semantic_math"":6,""answer_line"":1,""speed_measurement"":9}",results/benchloop/gemma4-harness-optimized/iteration-08/gemma-4-E2B-it-qat-UD-Q4_K_XL/analysis.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter08,iteration-08,gemma-4-E2B-it-qat-UD-Q4_K_XL,enforce_sampler;cap_max_tokens_by_task;strip_reasoning;strip_markdown_fences;extract_python_code;repair_json;parse_escaped_json;coerce_numeric_json_values;parse_tagged_tool_calls;parse_json_tool_calls;parse_function_syntax,results/benchloop/gemma4-harness-optimized/iteration-08/gemma-4-E2B-it-qat-UD-Q4_K_XL/policy.json,iter-08,2026-06-06T16:54:29.647458+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter08,results/benchloop/gemma4-harness-optimized/iteration-08/gemma-4-E2B-it-qat-UD-Q4_K_XL/run.json,0,6,93.75,8,4931.002312005148,3,41.67,12,3915.9660000004806,6,69.95,15,988.921542011667,6,63.34,15,9374.700374988606,8,53.33,15,3114.6500000031665,9,70.96,9,518.2191249914467,15,100,15
gemma4_harness_optimized_17x,8,gemma-4-E4B-it-qat-UD-Q4_K_XL,1,0.95,64,75.72,71.37173033707866,61.55,69.66292134831461,15.21844293518255,28.85080477376853,624.3884922089928,"{""tool_partial_batch"":4,""coding_semantic"":7,""semantic_extraction"":10,""format_or_instruction"":6,""semantic_math"":5,""answer_line"":1,""speed_measurement"":9,""tool_missing"":1}",results/benchloop/gemma4-harness-optimized/iteration-08/gemma-4-E4B-it-qat-UD-Q4_K_XL/analysis.json,gemma-4-E4B-it-qat-UD-Q4_K_XL-harness-iter08,iteration-08,gemma-4-E4B-it-qat-UD-Q4_K_XL,enforce_sampler;cap_max_tokens_by_task;strip_reasoning;strip_markdown_fences;extract_python_code;repair_json;parse_escaped_json;coerce_numeric_json_values;parse_tagged_tool_calls;parse_json_tool_calls;parse_function_syntax,results/benchloop/gemma4-harness-optimized/iteration-08/gemma-4-E4B-it-qat-UD-Q4_K_XL/policy.json,iter-08,2026-06-06T17:00:56.259150+00:00-gemma-4-E4B-it-qat-UD-Q4_K_XL-harness-iter08,results/benchloop/gemma4-harness-optimized/iteration-08/gemma-4-E4B-it-qat-UD-Q4_K_XL/run.json,0,6,87.5,8,8345.745604019612,5,56.25,12,6550.633500010008,10,86.68,15,1670.1472499989904,9,68.89,15,11611.288417014293,9,60,15,5149.692500010133,9,61.55,9,873.3980839897413,14,95,15
gemma4_harness_optimized_17x,9,gemma-4-E2B-it-qat-UD-Q4_K_XL,1,0.95,64,72.79833333333333,70.28831928838952,71.19,64.04494382022472,22.92409742265939,49.168386846544,378.9227182919858,"{""tool_partial_batch"":1,""coding_semantic"":8,""format_cleanup"":1,""semantic_extraction"":12,""format_or_instruction"":9,""semantic_math"":5,""answer_line"":1,""speed_measurement"":9}",results/benchloop/gemma4-harness-optimized/iteration-09/gemma-4-E2B-it-qat-UD-Q4_K_XL/analysis.json,gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter09,iteration-09,gemma-4-E2B-it-qat-UD-Q4_K_XL,enforce_sampler;cap_max_tokens_by_task;strip_reasoning;strip_markdown_fences;extract_python_code;repair_json;parse_escaped_json;coerce_numeric_json_values;parse_tagged_tool_calls;parse_json_tool_calls;parse_function_syntax;normalize_tool_args,results/benchloop/gemma4-harness-optimized/iteration-09/gemma-4-E2B-it-qat-UD-Q4_K_XL/policy.json,iter-09,2026-06-06T17:11:23.960852+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-harness-iter09,results/benchloop/gemma4-harness-optimized/iteration-09/gemma-4-E2B-it-qat-UD-Q4_K_XL/run.json,0,7,93.75,8,4916.046083497349,3,41.67,12,3941.7242920026183,8,81.37,15,953.3725829969626,6,60,15,9416.15649999585,9,60,15,3096.537083009025,9,71.19,9,523.7482500087935,15,100,15
