base_model,sampler_label,sampler_id,temp,top_p,top_k,quality_score,overall_score,speed_score,reliability_score,value_score,generation_tok_per_sec,total_runtime_sec,suite_agent_score,suite_agent_pass_count,suite_agent_task_count,suite_agent_median_latency_ms,suite_coding_score,suite_coding_pass_count,suite_coding_task_count,suite_coding_median_latency_ms,suite_dataextract_score,suite_dataextract_pass_count,suite_dataextract_task_count,suite_dataextract_median_latency_ms,suite_instructfollow_score,suite_instructfollow_pass_count,suite_instructfollow_task_count,suite_instructfollow_median_latency_ms,suite_reasonmath_score,suite_reasonmath_pass_count,suite_reasonmath_task_count,suite_reasonmath_median_latency_ms,suite_speed_score,suite_speed_pass_count,suite_speed_task_count,suite_speed_median_latency_ms,suite_toolcall_score,suite_toolcall_pass_count,suite_toolcall_task_count,suite_toolcall_median_latency_ms
gemma-4-E2B-it-qat-UD-Q4_K_XL,original,temp100_top_p095_top_k64,1,0.95,64,84.12166666666667,79.77114138576779,73.42,75.28089887640449,35.01575076093192,55.293079427829596,535.5820287080132,96.88,7,8,0,100,12,12,13875.344332998793,70.07,6,15,3453.8614580087597,67.78,8,15,828.6402499943506,80,12,15,8575.006999992183,73.42,9,9,2872.287584003061,90,13,15,407.6292499958072
gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp080_top_p085_top_k40,0.8,0.85,40,84.12166666666667,77.3091413857678,61.11,75.28089887640449,17.814322689109208,28.130448098257105,1039.6995768329944,96.88,7,8,0,100,12,12,27208.523479508585,70.07,6,15,6468.053958000382,67.78,8,15,1692.5965410191566,80,12,15,16097.835666005267,61.11,9,9,5534.636041993508,90,13,15,774.2981250048615
gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp085_top_p090_top_k47,0.85,0.9,47,84.12166666666667,77.2431413857678,60.78,75.28089887640449,17.515075652957734,27.657909604039602,1053.5529717079771,96.88,7,8,0,100,12,12,26687.098770504235,70.07,6,15,6558.139083004789,67.78,8,15,1826.938667014474,80,12,15,16286.415874987142,60.78,9,9,5470.874916994944,90,13,15,884.6239999984391
gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp095_top_p093_top_k58,0.95,0.93,58,84.12166666666667,77.2411413857678,60.77,75.28089887640449,17.473606738016876,27.592426386979213,1068.7767501670023,96.88,7,8,0,100,12,12,28992.704749995028,70.07,6,15,6839.252458012197,67.78,8,15,1864.7947080025915,80,12,15,16016.41495799413,60.77,9,9,5356.65929201059,90,13,15,843.464417004725
gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp075_top_p090_top_k40,0.75,0.9,40,84.12166666666667,77.2351413857678,60.74,75.28089887640449,17.461462783583553,27.57324997001091,1051.7042115000077,96.88,7,8,0,100,12,12,27625.176312503754,70.07,6,15,6974.795999994967,67.78,8,15,1660.7393330195919,80,12,15,16082.739875011612,60.74,9,9,5453.369082999416,90,13,15,916.4406250056345
gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp080_top_p090_top_k43,0.8,0.9,43,84.12166666666667,77.2271413857678,60.7,75.28089887640449,17.413390502562887,27.497339432752973,1055.5158647090138,96.88,7,8,0,100,12,12,27130.35399999353,70.07,6,15,7227.519457985181,67.78,8,15,1780.0213329901453,80,12,15,16355.237458017655,60.7,9,9,5407.952874986222,90,13,15,926.7577909922693
gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp090_top_p091_top_k52,0.9,0.91,52,84.12166666666667,77.0731413857678,59.93,75.28089887640449,16.911275058092723,26.70445313016924,1063.0766215409967,96.88,7,8,0,100,12,12,27227.56862550159,70.07,6,15,6977.453291998245,67.78,8,15,1933.8465830078349,80,12,15,16438.331665995065,59.93,9,9,5458.948750019772,90,13,15,942.7743749984074
gemma-4-E4B-it-qat-UD-Q4_K_XL,original,temp100_top_p095_top_k64,1,0.95,64,83.32000000000001,77.53422471910113,64.44,75.28089887640449,21.16869601611705,33.74893318037305,757.3009243330016,96.88,7,8,0,100,12,12,21996.322354010772,81.37,9,15,5379.371666000225,66.67,8,15,1415.1008329936303,80,12,15,10307.471541993436,64.44,9,9,4622.170957998605,75,10,15,711.306416997104
gemma-4-E4B-it-qat-UD-Q4_K_XL,sweep,temp095_top_p093_top_k58,0.95,0.93,58,83.32000000000001,74.97622471910113,51.65,75.28089887640449,10.47062352151708,16.693157354400945,1549.0844712090038,96.88,7,8,0,100,12,12,44057.62110449723,81.37,9,15,10017.424124991521,66.67,8,15,3036.967291001929,80,12,15,20977.405582991196,51.65,9,9,8911.135916016065,75,10,15,1789.7304159996565
gemma-4-E4B-it-qat-UD-Q4_K_XL,sweep,temp085_top_p090_top_k47,0.85,0.9,47,83.32000000000001,74.92622471910113,51.4,75.28089887640449,10.321909087597405,16.45606417258706,1586.4401495409838,96.88,7,8,0,100,12,12,44206.29289600765,81.37,9,15,10709.09787499113,66.67,8,15,3489.8250410042237,80,12,15,22122.41604097653,51.4,9,9,9083.948083978612,75,10,15,1696.2677499977872
gemma-4-E4B-it-qat-UD-Q4_K_XL,sweep,temp090_top_p091_top_k52,0.9,0.91,52,83.32000000000001,74.88622471910114,51.2,75.28089887640449,10.208788272517909,16.27571736111976,1572.3901320000004,96.88,7,8,0,100,12,12,44119.976812493405,81.37,9,15,11510.167000000365,66.67,8,15,3076.226000004681,80,12,15,21458.058874995913,51.2,9,9,9113.968541001668,75,10,15,1680.2965420065448
gemma-4-E4B-it-qat-UD-Q4_K_XL,sweep,temp080_top_p090_top_k43,0.8,0.9,43,83.32000000000001,74.86022471910113,51.07,75.28089887640449,10.132455152444631,16.1540206176434,1543.7346761670196,96.88,7,8,0,100,12,12,43889.42652050173,81.37,9,15,10366.532791987993,66.67,8,15,3043.8767919840757,80,12,15,20774.365874996874,51.07,9,9,9089.252707984997,75,10,15,1757.9264160012826
gemma-4-E4B-it-qat-UD-Q4_K_XL,sweep,temp075_top_p090_top_k40,0.75,0.9,40,83.32000000000001,74.84822471910113,51.01,75.28089887640449,10.114418893536827,16.12526568175883,1558.873991542001,96.88,7,8,0,100,12,12,46138.5634164908,81.37,9,15,10898.892875004094,66.67,8,15,2876.4462919789366,80,12,15,20494.425042008515,51.01,9,9,9494.06279201503,75,10,15,1775.9957920061424
gemma-4-E4B-it-qat-UD-Q4_K_XL,sweep,temp080_top_p085_top_k40,0.8,0.85,40,83.32000000000001,73.60022471910113,44.77,75.28089887640449,7.428419118387765,11.843016701236577,1792.4166415840155,96.88,7,8,0,100,12,12,41885.5422284978,81.37,9,15,10780.230542004574,66.67,8,15,2872.7517079969402,80,12,15,20115.486875001807,44.77,9,9,10391.604500007816,75,10,15,3709.220375021687
