variant,backend_mode,run_id,run_json,model_id,provider,harness,suite_name,task_id,trial_index,trial_warmup,trial_passed,trial_score,trial_latency_ms,trial_tokens_generated,trial_tokens_prompt,trial_error,trial_speed_metrics_ttft_ms,trial_speed_metrics_prompt_eval_tok_per_sec,trial_speed_metrics_generation_tok_per_sec,trial_speed_metrics_total_latency_ms
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-49-38-780381-00-00-gemma-4-12B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-12B-it-qat-UD-Q4_K_XL.run.json,gemma-4-12B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-short-001,1,true,true,46.32,812.0007079996867,10,19,,0,0,12.315260198029112,812.0007079996867
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-49-38-780381-00-00-gemma-4-12B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-12B-it-qat-UD-Q4_K_XL.run.json,gemma-4-12B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-short-001,2,false,true,47.3,769.2734159936663,10,19,,0,0,12.999279309662683,769.2734159936663
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-49-38-780381-00-00-gemma-4-12B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-12B-it-qat-UD-Q4_K_XL.run.json,gemma-4-12B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-short-001,3,false,true,43.22,963.7717090081424,10,19,,0,0,10.375901166772593,963.7717090081424
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-49-38-780381-00-00-gemma-4-12B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-12B-it-qat-UD-Q4_K_XL.run.json,gemma-4-12B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-short-002,1,true,true,49.56,2580.0385839975206,38,20,,0,0,14.728461905838117,2580.0385839975206
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-49-38-780381-00-00-gemma-4-12B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-12B-it-qat-UD-Q4_K_XL.run.json,gemma-4-12B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-short-002,2,false,true,48.55,2728.110625001136,38,20,,0,0,13.929053921698712,2728.110625001136
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-49-38-780381-00-00-gemma-4-12B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-12B-it-qat-UD-Q4_K_XL.run.json,gemma-4-12B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-short-002,3,false,true,50.58,2439.3251669971505,38,20,,0,0,15.578078935158377,2439.3251669971505
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-49-38-780381-00-00-gemma-4-12B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-12B-it-qat-UD-Q4_K_XL.run.json,gemma-4-12B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-short-003,1,true,true,47.22,1932.3689579905476,25,23,,0,0,12.937487893614927,1932.3689579905476
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-49-38-780381-00-00-gemma-4-12B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-12B-it-qat-UD-Q4_K_XL.run.json,gemma-4-12B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-short-003,2,false,true,50.42,1618.3580000069924,25,23,,0,0,15.447756306016334,1618.3580000069924
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-49-38-780381-00-00-gemma-4-12B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-12B-it-qat-UD-Q4_K_XL.run.json,gemma-4-12B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-short-003,3,false,true,46.03,2062.9468749975786,25,23,,0,0,12.118586427500391,2062.9468749975786
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-49-38-780381-00-00-gemma-4-12B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-12B-it-qat-UD-Q4_K_XL.run.json,gemma-4-12B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-medium-001,1,true,true,51.67,9668.893416004721,160,24,,0,0,16.547912270410933,9668.893416004721
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-49-38-780381-00-00-gemma-4-12B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-12B-it-qat-UD-Q4_K_XL.run.json,gemma-4-12B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-medium-001,2,false,true,51.02,10022.748041999876,160,24,,0,0,15.963685740629934,10022.748041999876
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-49-38-780381-00-00-gemma-4-12B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-12B-it-qat-UD-Q4_K_XL.run.json,gemma-4-12B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-medium-001,3,false,true,51.48,9772.74725001189,160,24,,0,0,16.3720595557002,9772.74725001189
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-49-38-780381-00-00-gemma-4-12B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-12B-it-qat-UD-Q4_K_XL.run.json,gemma-4-12B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-medium-002,1,true,true,51.19,9926.250582997454,160,24,,0,0,16.11887576907054,9926.250582997454
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-49-38-780381-00-00-gemma-4-12B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-12B-it-qat-UD-Q4_K_XL.run.json,gemma-4-12B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-medium-002,2,false,true,51.5,9762.366334005492,160,24,,0,0,16.38946895924895,9762.366334005492
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-49-38-780381-00-00-gemma-4-12B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-12B-it-qat-UD-Q4_K_XL.run.json,gemma-4-12B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-medium-002,3,false,true,51.23,9905.488417003653,160,24,,0,0,16.15266135946873,9905.488417003653
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-49-38-780381-00-00-gemma-4-12B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-12B-it-qat-UD-Q4_K_XL.run.json,gemma-4-12B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-medium-003,1,true,true,51.28,9878.420542008826,160,21,,0,0,16.196921291170625,9878.420542008826
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-49-38-780381-00-00-gemma-4-12B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-12B-it-qat-UD-Q4_K_XL.run.json,gemma-4-12B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-medium-003,2,false,true,51.22,9909.926624997752,160,21,,0,0,16.145427312892572,9909.926624997752
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-49-38-780381-00-00-gemma-4-12B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-12B-it-qat-UD-Q4_K_XL.run.json,gemma-4-12B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-medium-003,3,false,true,51.4,9813.831791994744,160,21,,0,0,16.30351970476138,9813.831791994744
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-49-38-780381-00-00-gemma-4-12B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-12B-it-qat-UD-Q4_K_XL.run.json,gemma-4-12B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-long-001,1,true,true,51.59,23308.618166993256,384,24,,0,0,16.47459309894967,23308.618166993256
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-49-38-780381-00-00-gemma-4-12B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-12B-it-qat-UD-Q4_K_XL.run.json,gemma-4-12B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-long-001,2,false,true,51.58,23313.704125001095,384,24,,0,0,16.470999114559707,23313.704125001095
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-49-38-780381-00-00-gemma-4-12B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-12B-it-qat-UD-Q4_K_XL.run.json,gemma-4-12B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-long-001,3,false,true,51.61,23282.976582995616,384,24,,0,0,16.49273659796784,23282.976582995616
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-49-38-780381-00-00-gemma-4-12B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-12B-it-qat-UD-Q4_K_XL.run.json,gemma-4-12B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-long-002,1,true,true,52.41,22273.419417004334,384,25,,0,0,17.240280569890427,22273.419417004334
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-49-38-780381-00-00-gemma-4-12B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-12B-it-qat-UD-Q4_K_XL.run.json,gemma-4-12B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-long-002,2,false,true,52.02,22754.277083004126,384,25,,0,0,16.875948139298238,22754.277083004126
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-49-38-780381-00-00-gemma-4-12B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-12B-it-qat-UD-Q4_K_XL.run.json,gemma-4-12B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-long-002,3,false,true,52.3,22411.74475000298,384,25,,0,0,17.13387352405702,22411.74475000298
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-49-38-780381-00-00-gemma-4-12B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-12B-it-qat-UD-Q4_K_XL.run.json,gemma-4-12B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-long-003,1,true,true,52.05,22718.102917002398,384,25,,0,0,16.902819808629864,22718.102917002398
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-49-38-780381-00-00-gemma-4-12B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-12B-it-qat-UD-Q4_K_XL.run.json,gemma-4-12B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-long-003,2,false,true,52.01,22771.628792004776,384,25,,0,0,16.863088868496934,22771.628792004776
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-49-38-780381-00-00-gemma-4-12B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-12B-it-qat-UD-Q4_K_XL.run.json,gemma-4-12B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-long-003,3,false,true,52.33,22366.817667003488,384,25,,0,0,17.16828945972469,22366.817667003488
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-36-58-851555-00-00-gemma-4-E4B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-E4B-it-qat-UD-Q4_K_XL.run.json,gemma-4-E4B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-short-001,1,true,true,59.45,314.413041996886,8,15,,0,0,25.444237138481146,314.413041996886
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-36-58-851555-00-00-gemma-4-E4B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-E4B-it-qat-UD-Q4_K_XL.run.json,gemma-4-E4B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-short-001,2,false,true,60.13,302.8984590055188,8,15,,0,0,26.41149125111343,302.8984590055188
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-36-58-851555-00-00-gemma-4-E4B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-E4B-it-qat-UD-Q4_K_XL.run.json,gemma-4-E4B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-short-001,3,false,true,56.32,373.7947920017177,8,15,,0,0,21.402117341333202,373.7947920017177
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-36-58-851555-00-00-gemma-4-E4B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-E4B-it-qat-UD-Q4_K_XL.run.json,gemma-4-E4B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-short-002,1,true,true,63,1130.6196250079665,35,16,,0,0,30.956476630903506,1130.6196250079665
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-36-58-851555-00-00-gemma-4-E4B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-E4B-it-qat-UD-Q4_K_XL.run.json,gemma-4-E4B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-short-002,2,false,true,64.36,1048.8887919927947,35,16,,0,0,33.36864715038392,1048.8887919927947
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-36-58-851555-00-00-gemma-4-E4B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-E4B-it-qat-UD-Q4_K_XL.run.json,gemma-4-E4B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-short-002,3,false,true,63.46,1102.4770829972113,35,16,,0,0,31.746691645370493,1102.4770829972113
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-36-58-851555-00-00-gemma-4-E4B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-E4B-it-qat-UD-Q4_K_XL.run.json,gemma-4-E4B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-short-003,1,true,true,63.51,784.9870830104919,25,19,,0,0,31.847657803645486,784.9870830104919
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-36-58-851555-00-00-gemma-4-E4B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-E4B-it-qat-UD-Q4_K_XL.run.json,gemma-4-E4B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-short-003,2,false,true,61.61,872.1575830131769,25,19,,0,0,28.664544672797152,872.1575830131769
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-36-58-851555-00-00-gemma-4-E4B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-E4B-it-qat-UD-Q4_K_XL.run.json,gemma-4-E4B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-short-003,3,false,true,63.77,773.8736659957794,25,19,,0,0,32.30501449849871,773.8736659957794
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-36-58-851555-00-00-gemma-4-E4B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-E4B-it-qat-UD-Q4_K_XL.run.json,gemma-4-E4B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-medium-001,1,true,true,65.01,4625.601250008913,160,20,,0,0,34.5900978818033,4625.601250008913
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-36-58-851555-00-00-gemma-4-E4B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-E4B-it-qat-UD-Q4_K_XL.run.json,gemma-4-E4B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-medium-001,2,false,true,65.13,4594.3355839990545,160,20,,0,0,34.825492625580246,4594.3355839990545
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-36-58-851555-00-00-gemma-4-E4B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-E4B-it-qat-UD-Q4_K_XL.run.json,gemma-4-E4B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-medium-001,3,false,true,65.41,4523.415290997946,160,20,,0,0,35.37150354476985,4523.415290997946
qat_latest_llamacpp_all_suites_temp1_top_p095_top_k64,Metal,2026-06-05T23-36-58-851555-00-00-gemma-4-E4B-it-qat-UD-Q4_K_XL,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-E4B-it-qat-UD-Q4_K_XL.run.json,gemma-4-E4B-it-qat-UD-Q4_K_XL,openai_compat,raw,speed,speed-medium-002,1,true,true,65.11,4598.883790997206,160,20,,0,0,34.79105088787341,4598.883790997206
