"Source","Target","Repo","Status","Bytes"
"C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\models\AEON-Gemma-4-12B-it-AEON-Abliterated-K4-BF16.BF16.gguf","C:\Users\Admin\.cache\huggingface\hub\models--AEON-7--Gemma-4-12B-it-AEON-Abliterated-K4-BF16\snapshots\bfe3b142f583db0b26ba8f63e5623cb26bd4e463\AEON-Gemma-4-12B-it-AEON-Abliterated-K4-BF16.BF16.gguf","AEON-7/Gemma-4-12B-it-AEON-Abliterated-K4-BF16","source-missing-target-present","23832048448"
"C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\models\gemma-4-12B-it-qat-UD-Q4_K_XL.gguf","C:\Users\Admin\.cache\huggingface\hub\models--unsloth--gemma-4-12B-it-qat-GGUF\snapshots\10a5e68e89865d0eefaa910c00334643a1093ee9\gemma-4-12B-it-qat-UD-Q4_K_XL.gguf","unsloth/gemma-4-12B-it-qat-GGUF","moved","6716355328"
"C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\models\gemma-4-26B-A4B-it-Claude-Opus-Distill.q5_k_m.gguf","C:\Users\Admin\.cache\huggingface\hub\models--TeichAI--gemma-4-26B-A4B-it-Claude-Opus-Distill-v2-GGUF\snapshots\e2ed584fe63d61372a847ce85ffb4f7506ffa3b9\gemma-4-26B-A4B-it-Claude-Opus-Distill.q5_k_m.gguf","TeichAI/gemma-4-26B-A4B-it-Claude-Opus-Distill-v2-GGUF","moved","19132891328"
"C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\models\gemma-4-E4B-it-qat-UD-Q4_K_XL.gguf","C:\Users\Admin\.cache\huggingface\hub\models--unsloth--gemma-4-E4B-it-qat-GGUF\snapshots\ce17dde5087147ba8dddf882a152cc70cb913e32\gemma-4-E4B-it-qat-UD-Q4_K_XL.gguf","unsloth/gemma-4-E4B-it-qat-GGUF","moved","4215693760"
"C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\models\Holo-3.1-35B-A3B-q4_k_m.gguf","C:\Users\Admin\.cache\huggingface\hub\models--Hcompany--Holo-3.1-35B-A3B-GGUF\snapshots\95dd5447a6f101de041c7f03821dafac2bac19a4\q4_k_m.gguf","Hcompany/Holo-3.1-35B-A3B-GGUF","moved","21297870912"
"C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\models\mmproj-gemma-4-12B-it-Q8_0.gguf","C:\Users\Admin\.cache\huggingface\hub\models--ggml-org--gemma-4-12B-it-GGUF\snapshots\44ee90c4b61e888ac5b318a54ec7a94df61e9cd7\mmproj-gemma-4-12B-it-Q8_0.gguf","ggml-org/gemma-4-12B-it-GGUF","moved","158987584"
"C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\models\mmproj-gemma-4-12B-it-qat-F16.gguf","C:\Users\Admin\.cache\huggingface\hub\models--unsloth--gemma-4-12B-it-qat-GGUF\snapshots\10a5e68e89865d0eefaa910c00334643a1093ee9\mmproj-F16.gguf","unsloth/gemma-4-12B-it-qat-GGUF","moved","175115840"
"C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\models\mmproj-gemma4-26B-A4B-F16.gguf","C:\Users\Admin\.cache\huggingface\hub\models--TeichAI--gemma-4-26B-A4B-it-Claude-Opus-Distill-v2-GGUF\snapshots\e2ed584fe63d61372a847ce85ffb4f7506ffa3b9\mmproj-F16.gguf","TeichAI/gemma-4-26B-A4B-it-Claude-Opus-Distill-v2-GGUF","moved","1193059488"
"C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\models\mmproj-gemma-4-E4B-it-qat-F16.gguf","C:\Users\Admin\.cache\huggingface\hub\models--unsloth--gemma-4-E4B-it-qat-GGUF\snapshots\ce17dde5087147ba8dddf882a152cc70cb913e32\mmproj-F16.gguf","unsloth/gemma-4-E4B-it-qat-GGUF","moved","990372672"
"C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\models\mmproj-Jackrong-Qwopus3.6-27B-v2.gguf","C:\Users\Admin\.cache\huggingface\hub\models--Jackrong--Qwopus3.6-27B-v2-MTP-GGUF\snapshots\ca112a9d164086dd7d7b440eba562f61cd6375d8\mmproj-F32.gguf","Jackrong/Qwopus3.6-27B-v2-MTP-GGUF","moved","931145760"
"C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\models\mmproj-Qwopus3.6-35B-A3B-v1.gguf","C:\Users\Admin\.cache\huggingface\hub\models--Jackrong--Qwopus3.6-35B-A3B-v1-GGUF\snapshots\bd297a4fe8dd8f9987c2c7a5b1029834c9a76c3f\mmproj-F32.gguf","Jackrong/Qwopus3.6-35B-A3B-v1-GGUF","moved","902822560"
"C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\models\mmproj-unsloth-gemma4-26B-A4B-F16.gguf","C:\Users\Admin\.cache\huggingface\hub\models--unsloth--gemma-4-26B-A4B-it-GGUF\snapshots\944fda8f889e780d53644a982a5e5f3ebaaa5375\mmproj-F16.gguf","unsloth/gemma-4-26B-A4B-it-GGUF","moved","1193058784"
"C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\models\Qwopus3.5-9B-coder-Exp-Q5_K_M.gguf","C:\Users\Admin\.cache\huggingface\hub\models--Jackrong--Qwopus3.5-9B-Coder-GGUF\snapshots\b110611ae526cf4ed34af1d290054147639d0d5e\Qwopus3.5-9B-coder-Exp-Q5_K_M.gguf","Jackrong/Qwopus3.5-9B-Coder-GGUF","moved","6467965728"
"C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\models\Qwopus3.6-27B-v2-MTP-IQ4_XS.gguf","C:\Users\Admin\.cache\huggingface\hub\models--Jackrong--Qwopus3.6-27B-v2-MTP-GGUF\snapshots\ca112a9d164086dd7d7b440eba562f61cd6375d8\Qwopus3.6-27B-v2-MTP-IQ4_XS.gguf","Jackrong/Qwopus3.6-27B-v2-MTP-GGUF","moved","15420448992"
"C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\models\Qwopus3.6-27B-v2-MTP-Q5_K_M.gguf","C:\Users\Admin\.cache\huggingface\hub\models--Jackrong--Qwopus3.6-27B-v2-MTP-GGUF\snapshots\ca112a9d164086dd7d7b440eba562f61cd6375d8\Qwopus3.6-27B-v2-MTP-Q5_K_M.gguf","Jackrong/Qwopus3.6-27B-v2-MTP-GGUF","moved","19535700192"
"C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\models\Qwopus3.6-35B-A3B-v1-Q4_K_M.gguf","C:\Users\Admin\.cache\huggingface\hub\models--Jackrong--Qwopus3.6-35B-A3B-v1-GGUF\snapshots\bd297a4fe8dd8f9987c2c7a5b1029834c9a76c3f\Qwopus3.6-35B-A3B-v1-Q4_K_M.gguf","Jackrong/Qwopus3.6-35B-A3B-v1-GGUF","moved","21166758272"
