"Time","Model","KV","CacheK","CacheV","Spec","Mode","ExitCode","PromptTPS","GenerationTPS","PromptTokens","GenerationTokens","DraftTokens","AcceptedDraftTokens","AcceptRate","VisionSeen","LoadLocalMiB","LoadDedicatedMiB","Note","Log"
"2026-05-20T20:21:21","Qwopus27-IQ4_XS","q8q8","q8_0","q8_0","baseline-draft-mtp","text","0","117.13716762328687","18.898161400830148","36","384","322","221","0.686335403726708","","33592.63","30172.42","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\matrix-Qwopus27-IQ4_XS-q8q8-baseline-draft-mtp-text.response.json"
"2026-05-20T20:21:53","Qwopus27-IQ4_XS","q8q8","q8_0","q8_0","baseline-draft-mtp","image","0","141.0645706854339","20.088853417181973","1109","192","148","116","0.783783783783784","True","33592.63","30172.42","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\matrix-Qwopus27-IQ4_XS-q8q8-baseline-draft-mtp-image.response.json"
"2026-05-20T20:22:38","Qwopus27-IQ4_XS","q8q8","q8_0","q8_0","ngram-mod","text","0","131.2623058411726","12.55754601743805","36","384",,,"0","","29954.95","27599.99","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\matrix-Qwopus27-IQ4_XS-q8q8-ngram-mod-text.response.json"
"2026-05-20T20:23:13","Qwopus27-IQ4_XS","q8q8","q8_0","q8_0","ngram-mod","image","0","182.82569391747654","12.486638646302692","1109","192",,,"0","True","29954.95","27599.99","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\matrix-Qwopus27-IQ4_XS-q8q8-ngram-mod-image.response.json"
"2026-05-20T20:23:48","Qwopus27-IQ4_XS","q5_1q5_1","q5_1","q5_1","baseline-draft-mtp","text","0","117.93882251190036","18.47992598789642","36","384","329","218","0.662613981762918","","30706.66","27286.44","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\matrix-Qwopus27-IQ4_XS-q5_1q5_1-baseline-draft-mtp-text.response.json"
"2026-05-20T20:24:20","Qwopus27-IQ4_XS","q5_1q5_1","q5_1","q5_1","baseline-draft-mtp","image","0","138.73624912977095","20.936233466918136","1109","192","142","119","0.838028169014085","True","30706.66","27286.44","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\matrix-Qwopus27-IQ4_XS-q5_1q5_1-baseline-draft-mtp-image.response.json"
"2026-05-20T20:25:05","Qwopus27-IQ4_XS","q5_1q5_1","q5_1","q5_1","ngram-mod","text","0","130.4073781596621","12.540307372730823","36","384",,,"0","","27229.3","24874.34","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\matrix-Qwopus27-IQ4_XS-q5_1q5_1-ngram-mod-text.response.json"
"2026-05-20T20:25:40","Qwopus27-IQ4_XS","q5_1q5_1","q5_1","q5_1","ngram-mod","image","0","182.61225096027863","12.505761344063053","1109","187",,,"0","True","27229.3","24874.34","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\matrix-Qwopus27-IQ4_XS-q5_1q5_1-ngram-mod-image.response.json"
"2026-05-20T20:26:22","Unsloth27-UD-IQ3_XXS","q8q8","q8_0","q8_0","baseline-draft-mtp","text","0","32.46036003949344","18.338709663554404","36","384","363","201","0.553719008264463","","28775.95","25810.42","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\matrix-Unsloth27-UD-IQ3_XXS-q8q8-baseline-draft-mtp-text.response.json"
"2026-05-20T20:26:51","Unsloth27-UD-IQ3_XXS","q8q8","q8_0","q8_0","baseline-draft-mtp","image","0","130.15866681845975","22.520715539434477","1109","192","148","117","0.790540540540541","True","28775.95","25810.42","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\matrix-Unsloth27-UD-IQ3_XXS-q8q8-baseline-draft-mtp-image.response.json"
"2026-05-20T20:27:29","Unsloth27-UD-IQ3_XXS","q8q8","q8_0","q8_0","ngram-mod","text","0","123.99725828284464","15.107133773472857","36","384",,,"0","","25138.28","23238.01","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\matrix-Unsloth27-UD-IQ3_XXS-q8q8-ngram-mod-text.response.json"
"2026-05-20T20:28:00","Unsloth27-UD-IQ3_XXS","q8q8","q8_0","q8_0","ngram-mod","image","0","174.34604120509115","15.18058971847122","1109","192",,,"0","True","25138.28","23238.01","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\matrix-Unsloth27-UD-IQ3_XXS-q8q8-ngram-mod-image.response.json"
"2026-05-20T20:28:33","Unsloth27-UD-IQ3_XXS","q5_1q5_1","q5_1","q5_1","baseline-draft-mtp","text","0","111.06860337401734","19.034293154088452","36","384","355","204","0.574647887323944","","25889.97","22924.45","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\matrix-Unsloth27-UD-IQ3_XXS-q5_1q5_1-baseline-draft-mtp-text.response.json"
"2026-05-20T20:29:02","Unsloth27-UD-IQ3_XXS","q5_1q5_1","q5_1","q5_1","baseline-draft-mtp","image","0","134.88312298336655","21.878604058458265","1109","192","151","115","0.76158940397351","True","25889.97","22924.45","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\matrix-Unsloth27-UD-IQ3_XXS-q5_1q5_1-baseline-draft-mtp-image.response.json"
"2026-05-20T20:29:40","Unsloth27-UD-IQ3_XXS","q5_1q5_1","q5_1","q5_1","ngram-mod","text","0","125.52301255230125","15.302731059283735","36","384",,,"0","","22412.63","20512.36","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\matrix-Unsloth27-UD-IQ3_XXS-q5_1q5_1-ngram-mod-text.response.json"
"2026-05-20T20:30:11","Unsloth27-UD-IQ3_XXS","q5_1q5_1","q5_1","q5_1","ngram-mod","image","0","174.3085264060914","15.152346186916029","1109","192",,,"0","True","22412.63","20512.36","","C:\Users\Admin\Documents\Codex\2026-05-18\i-want-to-run-qwen-3\logs\matrix-Unsloth27-UD-IQ3_XXS-q5_1q5_1-ngram-mod-image.response.json"
